timestamp,tipo,modulo_afetado,descricao
06:15:00,INFO,laboratorio,Inicio de turno. Sistemas nominais. Inicio do ciclo de amostragem geologica do setor 4-B.
11:48:00,INFO,habitat,Sensores meteorologicos detectaram frente de poeira no setor sudeste a 120 km. Trajetoria sob monitoramento.
14:22:00,ALERTA,energia,Geracao solar abaixo do esperado (-58 por cento). Opacidade atmosferica elevada por poeira em suspensao.
15:50:00,MUDANCA_PRIORIDADE,laboratorio,Experimentos nao-essenciais suspensos para conservar energia. Bancada de cromatografia em standby.
17:05:00,MODO_ECONOMIA,energia,Modo de economia de energia ativado. Aquecimento auxiliar reduzido. Consumo reduzido em aprox 16 por cento.
19:32:00,ALERTA,comunicacao,Qualidade de sinal com orbiter de retransmissao degradada. Latencia maior que 15s. Possivel impacto de detritos atmosfericos na antena.
20:14:00,FALHA_SENSOR,armazenamento,Sensor de integridade do banco de dados primario reportou inconsistencias CRC. Evento de particulas solares em andamento.
21:48:00,ALERTA,armazenamento,Banco de dados secundario inacessivel. Backups locais corrompidos. Falhas recorrentes de escrita.
22:30:00,FALHA_SENSOR,comunicacao,Antena de alto ganho sem resposta. Comutando para antena auxiliar de baixo ganho sem sucesso.
23:05:00,REINICIALIZACAO,comunicacao,Reinicializacao forcada do modulo de comunicacao apos perda total de sinal. Sem confirmacao de retorno do subsistema.
23:47:00,ALERTA,laboratorio,Modulo de laboratorio em standby forcado. Reserva insuficiente para retomar operacao antes do alvorecer.
